PAGES;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Pages Publiques;;Pages Client;;Pages Coiffeur;;Pages Admin;;Pages Communes;
HomePage.tsx;Page d'accueil principale;SignInClientPage.tsx;Connexion client;SignInCoiffeurPage.tsx;Connexion coiffeur;AdminDashboardPage.tsx;Tableau de bord admin;ProfileEditPage.tsx;êdition de profil
AboutPage.tsx;Page Ö propos;OnboardingClientPage.tsx;Onboarding client;OnboardingProPage.tsx;Onboarding professionnel;AdminAnalyticsPage.tsx;Analytics admin;;
ContactPage.tsx;Page de contact;ClientDashboardPage.tsx;Tableau de bord client;CoiffeurDashboardPage.tsx;Tableau de bord coiffeur;AdminServicesPage.tsx;Gestion services admin;;
LoginPage.tsx;Page de connexion gÇnÇrale;ClientProfilePage.tsx;Profil client;CoiffeurProfilePage.tsx;Profil coiffeur;AdminSettingsPage.tsx;Paramätres admin;;
NotFoundPage.tsx;Page 404;ClientBookingsPage.tsx;RÇservations client;CoiffeurProfileEditPage.tsx;êdition profil coiffeur;AdminUsersPage.tsx;Gestion utilisateurs admin;;
PrivacyPage.tsx;Page de confidentialitÇ; ClientFavoritesPage.tsx; Favoris client;CoiffeurReservationsPage.tsx;RÇservations coiffeur;;;;
TermsPage.tsx;Page des conditions d'utilisation; ClientServicesPage.tsx;Services client;CoiffeurRevenuePage.tsx;Revenus coiffeur;;;;
CookiesPage.tsx;Page des cookies;ClientChatPage.tsx;Chat client;CoiffeurChatPage.tsx;Chat coiffeur;;;;
;;BookingPage.tsx;Page de rÇservation;;;;;;
;;PhotoSetupPage.tsx;Configuration photos;;;;;;
COMPOSANTS;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Composants Principaux;;Composants Admin;;Composants UI;;Composants SpÇcialisÇs;;;
AddressAutocomplete.tsx;AutocomplÇtion d'adresses;AdminAnalyticsOverview.tsx;Vue d'ensemble analytics admin;BookingButton.tsx;Bouton de rÇservation;booking/AdvancedBookingCard.tsx;Carte rÇservation avancÇe;;
AddressDisplay.tsx;Affichage d'adresses;AdminCommissionSettings.tsx;Paramätres commission admin;Button.tsx;Bouton gÇnÇrique;calendar/IntelligentCalendar.tsx; Calendrier intelligent;;
AddressForm.tsx;Formulaire d'adresses;AdminConversionFunnel.tsx;Entonnoir de conversion admin;card.tsx;Composant carte;coiffeur/TimeChangeRequestsManager.tsx;Gestionnaire demandes changement horaire;;
AdminDebug.tsx;Debug admin;AdminCustomReports.tsx;Rapports personnalisÇs admin;Input.tsx;Champ de saisie;modals/TimeChangeModal.tsx;Modal changement horaire;;
AdminNavigation.tsx;Navigation admin;AdminGeographicMap.tsx;Carte gÇographique admin;Modal.tsx;Modal gÇnÇrique;pricing/DynamicPricingDisplay.tsx;Affichage prix dynamique;;
ApiErrorHandler.tsx;Gestionnaire d'erreurs API;AdminNotificationSettings.tsx;Paramätres notifications admin;Notification.tsx;Notification;;;;
AuthProvider.tsx;Fournisseur d'authentification;AdminPlatformSettings.tsx;Paramätres plateforme admin;NotificationManager.tsx;Gestionnaire de notifications;;;;
AutoGeolocation.tsx;GÇolocalisation automatique;AdminRealTimeMetrics.tsx;MÇtriques temps rÇel admin;Toast.tsx;Toast notification;;;;
BackgroundVideo.tsx;VidÇo de fond;AdminRevenueAnalytics.tsx;Analytics revenus admin;;;;;;
BookingForm.tsx;Formulaire de rÇservation;AdminSecuritySettings.tsx;Paramätres sÇcuritÇ admin;;;;;;
BookingNotification.tsx;Notification de rÇservation;AdminServiceAnalytics.tsx;Analytics services admin;;;;;;
ChatStatusNotification.tsx;Notification statut chat;AdminServiceFilters.tsx;Filtres services admin;;;;;;
ChatSuggestions.tsx;Suggestions de chat;AdminServiceModeration.tsx;ModÇration services admin;;;;;;
ChatWelcome.tsx;Accueil chat;AdminServiceReports.tsx;Rapports services admin;;;;;;
ChatWindow.tsx;Fenàtre de chat;AdminServicesGrid.tsx;Grille services admin;;;;;;
ClientBookings.tsx;RÇservations client;AdminUserBehaviorChart.tsx;Graphique comportement utilisateurs admin;;;;;;
CoiffeurBookings.tsx;RÇservations coiffeur;;;;;;;;
CoiffeurCard.tsx;Carte coiffeur;;;;;;;;
CoiffeurInfoDisplay.tsx;Affichage infos coiffeur;;;;;;;;
ConnectionIndicator.tsx;Indicateur de connexion;;;;;;;;
ConnectionStatusManager.tsx;Gestionnaire statut connexion;;;;  ;;;;
Dashboard.tsx;Tableau de bord;;;;;;;;
DashboardStats.tsx;Statistiques tableau de bord;;;;;;;;
DragDropImageUpload.tsx;Upload d'images par glisser-dÇposer;;;;;;;;
FashionBackground.tsx;Arriäre-plan mode;;;;;;;;
FavoriteStar.tsx;êtoile favori;;;;;;;;
Footer.tsx;Pied de page;;;;;;;;
FormattedBio.tsx;Bio formatÇe;;;;;;;;
Gallery.tsx;Galerie;;;;;;;;
GalleryHub.tsx;Hub galerie;;;;;;;;
HairSalonBackground.tsx;Arriäre-plan salon;;;;;;;;
Header.tsx;En-tàte;;;;;;;;
HorizontalSalonAddress.tsx;Adresse salon horizontale;;;;;;;;
ListCardToggle.tsx;Basculement liste/carte;;;;;;;;
LoadingScreen.tsx;êcran de chargement;;;;;;;;
LocalVideoBackground.tsx;Arriäre-plan vidÇo local;;;;;;;;
LocationSearchBar.tsx;Barre de recherche de localisation;;;;;;;;
MainHub.tsx;Hub principal;;;;;;;;
Map.tsx;Carte;;;;;;;;
OrdersManagement.tsx;Gestion des commandes;;;;;;;;
PreferencesDisplay.tsx;Affichage des prÇfÇrences;;;;;;;;
PricingManager.tsx;Gestionnaire de prix;;;;;;;;
ProductCard.tsx;Carte produit;;;;;;;;
ProductGallery.tsx;Galerie produits;;;;;;;;
ProductModal.tsx;Modal produit;;;;;;;;
ProductOrderModal.tsx;Modal commande produit;;;;;;;;
ProductPaymentModal.tsx;Modal paiement produit;;;;;;;;
ProductsSection.tsx;Section produits;;;;;;;;
ProfileInfoDisplay.tsx;Affichage infos profil;;;;;;;;
ProtectedRoute.tsx;Route protÇgÇe;;;;;;;;
PushNotification.tsx;Notification push;;;;;;;;
ReviewForm.tsx;Formulaire d'avis;;;;;;;;
RichTextEditor.tsx;êditeur de texte riche;;;;;;;;
SalonAddressForm.tsx;Formulaire adresse salon;;;;;;;;
SearchFilters.tsx;Filtres de recherche;;;;;;;;
ServiceCard.tsx;Carte service;;;;;;;;
ServiceManager.tsx;Gestionnaire de services;;;;;;;;
ServiceModal.tsx;Modal service;;;;;;;;
ServicesSection.tsx;Section services;;;;;;;;
SimplePhotoUpload.tsx;Upload photo simple;;;;;;;;
SimpleVideoTest.tsx;Test vidÇo simple;;;;;;;;
SmartKeywordInput.tsx;Input mots-clÇs intelligent;;;;;;;;
SpecialtyManager.tsx;Gestionnaire de spÇcialitÇs;;;;;;;;
StepIndicator.tsx;Indicateur d'Çtapes;;;;;;;;
StepNavigation.tsx;Navigation par Çtapes;;;;;;;;
TestVideo.tsx;Test vidÇo;;;;;;;;
WorkingSlotManager.tsx;Gestionnaire crÇneaux;;;;;;;;
LAYOUTS;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
AdminDashboardLayout.tsx  Layout tableau de bord admin;;;;;;;;;
AdminLayout.tsx Layout admin gÇnÇral;;;;;;;;;
AuthLayout.tsx Layout authentification;;;;;;;;;
ClientDashboardLayout.tsx Layout tableau de bord client;;;;;;;;;
CoiffeurDashboardLayout.tsx Layout tableau de bord coiffeur;;;;;;;;;
ErrorBoundaryLayout.tsx Layout gestion d'erreurs;;;;;;;;;
PublicLayout.tsx Layout public;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
MODELES BACKEND;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Booking.js;Modäle rÇservation;;;;;;;;
Connection.js;Modäle connexion;;;;;;;;
Conversation.js;Modäle conversation;;;;;;;;
GlobalSpecialty.js;Modäle spÇcialitÇ globale;;;;;;;;
Message.js;Modäle message;;;;;;;;
Notification.js;Modäle notification;;;;;;;;
Order.js;Modäle commande;;;;;;;;
Pricing.js;Modäle tarification;;;;;;;;
Product.js;Modäle produit;;;;;;;;
Review.js;Modäle avis;;;;;;;;
Service.js;Modäle service;;;;;;;;
Specialty.js;Modäle spÇcialitÇ;;;;;;;;
TimeChangeRequest.js;Modäle demande changement horaire;;;;;;;;
User.js;Modäle utilisateur;;;;;;;;
WorkingSlot.js;Modäle crÇneau de travail;;;;;;;;
ROUTES BACKEND;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
admin.js;Routes admin;;;;;;;;
auth.js;Routes authentification;;;;;;;;
bookings.js;Routes rÇservations;;;;;;;;
chat.js;Routes chat;;;;;;;;
coiffeurs.js;Routes coiffeurs;;;;;;;;
connections.js;Routes connexions;;;;;;;;
favorites.js;Routes favoris;;;;;;;;
globalSpecialties.js;Routes spÇcialitÇs globales;;;;;;;;
notifications.js;Routes notifications;;;;;;;;
orders.js;Routes commandes;;;;;;;;
pricing.js;Routes tarification;;;;;;;;
products.js;Routes produits;;;;;;;;
reviews.js;Routes avis;;;;;;;;
services.js;Routes services;;;;;;;;
specialties.js;Routes spÇcialitÇs;;;;;;;;
time-change-requests.js;Routes demandes changement horaire;;;;;;;;
users.js;Routes utilisateurs;;;;;;;;
working-slots.js;Routes crÇneaux de travail;;;;;;;;
MIDDLEWARE BACKEND;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
auth.js;Middleware authentification;;;;;;;;
coiffeurAuth.j;Middleware authentification coiffeur;;;;;;;;
errorHandler.js;Middleware gestion d'erreurs;;;;;;;;
validate.js;Middleware validation;;;;;;;;
